Urban Area State,Composite,Grocery,Housing,Utilities,Transportation,Health Care,Misc,Median Income,Temp Median Income,,
Tampa FL,92.1,98.5,75.9,103.9,102.1,91.2,96.1,,46050,,
Albany GA,92.3,110.1,77,91.7,96.8,98.4,95.6,,46150,,
Atlanta GA,99.4,104.3,96.5,90.9,102,101.2,101.3,,49700,,
Fayetteville-Fayette County GA,95,99.1,89.1,91.2,94.1,110,98,,47500,,
Marietta GA,96.5,103.1,91.6,90.3,98.9,100.1,98.6,,48250,,
Augusta-Aiken GA-SC,87,96.4,67.9,92.6,96.8,93.7,93.1,,43500,,
Dalton GA,89.9,101.5,75.5,101.1,95,92.5,91.5,,44950,,
Dublin-Laurens County GA,88.9,95.7,75.8,97.6,94.2,85.6,93,,44450,,
Savannah GA,91.3,97.7,69.6,106.8,98.9,98.7,98.6,,45650,,
Statesboro-Bulloch County GA,91.8,100.6,76.4,91.3,98.3,84,100.4,,45900,,
Valdosta GA,95.1,108,85.9,98.3,97.9,96.4,95.2,,47550,,
Hilo HI,152.6,159,152.4,262.6,125.6,114.8,129.9,,76300,,
Honolulu HI,174.3,154.3,266.1,214.5,125.7,112,116.6,,87150,,
Boise ID,94.5,93.3,86,88.8,106,103.9,98.6,,47250,,
Idaho Falls ID,84,94.6,61.3,79.9,95.4,102.5,93.6,,42000,,
Twin Falls ID,91.6,90.6,78.6,91.7,110,93.2,96.1,,45800,,
Carbondale IL,92.8,98.5,81.8,98,102.1,99.5,93.9,,46400,,
Champaign-Urbana IL,99.2,99.7,90.4,114.7,95.1,115.9,101.1,,49600,,
Chicago IL,116.4,103.2,135.5,102,125.6,100.4,108.7,,58200,,
Joliet-Will County IL,96.9,92.9,101.2,96.6,109.7,103.6,89.1,,48450,,
Danville IL,89.9,94.5,70.1,109.3,108,93.5,91.6,,44950,,
Decatur IL,88.2,90.2,80.1,90.3,90.6,92.3,92.3,,44100,,
Kankakee IL,95,94,91.4,97,102.5,97.4,94.9,,47500,,
Peoria IL,99.3,94.6,101.1,97.5,110.1,92.5,97.3,,49650,,
Quincy IL,93.6,97.1,93.3,91.8,97.2,101.8,90.3,,46800,,
Rockford IL,91.6,99.1,80.9,92.1,98.6,100.8,93.5,,45800,,
Springfield IL,87.9,95.4,80.4,76.8,101.5,105.1,87.2,,43950,,
Bloomington IN,90.8,94.1,81.9,88.8,99.9,94.8,93.7,,45400,,
Elkhart-Goshen IN,90.9,91.8,80,88.5,98.5,94.5,97.4,,45450,,
Evansville IN,93.6,93.1,83.9,106.3,95.1,94.5,97.7,,46800,,
Fort Wayne-Allen County IN,88.8,91.9,76,94,99.2,92.2,92.5,,44400,,
Indianapolis IN,93.3,93.6,82.3,95.3,98.6,98.3,99.6,,46650,,
Indianapolis-Morgan County IN,89.9,97.5,74.7,97.7,96.3,97.5,94,,44950,,
Lafayette IN,89.9,95.1,73.3,100.8,106.8,98.1,91.1,,44950,,
Muncie IN,90.2,92.3,76.3,85.2,96.9,95.5,99.7,,45100,,
Richmond IN,84.9,86.6,76.7,88.8,95.9,88,85.5,,42450,,
South Bend IN,89.9,93.6,86.8,83.8,95.8,96.4,89.7,,44950,,
Ames IA,96.7,92.7,99.3,87.9,106.4,98,95,,48350,,
Burlington IA,88.1,93.3,79.7,100.4,83.6,87.4,90.9,,44050,,
Cedar Rapids IA,92.9,91.4,84.9,103.5,95.5,102.6,94.8,,46450,,
Davenport-Moline-Rock Is IA-IL,96.9,94.6,98.6,87,103.4,99.6,96.8,,48450,,
Des Moines IA,91.7,93.2,84,93.6,98.9,96.8,93.8,,45850,,
Mason City IA,88.2,97.4,72.1,96.7,90.7,93.3,94,,44100,,
Waterloo-Cedar Falls IA,91.9,93.6,92.6,84.3,91.8,98.3,92.2,,45950,,
Dodge City KS,94.8,94.4,87,101.5,90.9,94.3,101.3,,47400,,
Hutchinson KS,90.6,90.1,80.6,95.3,94.9,99.9,95.1,,45300,,
Manhattan KS,93.5,93.9,92.9,89.8,93.1,96.2,94.9,,46750,,
Salina KS,88.1,96.9,75.9,100.9,94.8,99.2,86.8,,44050,,
Topeka KS,92.7,94.3,83.5,89.2,92.5,96.1,100.7,,46350,,
Wichita KS,91.1,95.6,72.6,110.7,96.3,96.6,96.3,,45550,,
Bowling Green KY,91.5,91.8,79.8,104.2,97.6,91.3,95.2,,45750,,
Covington KY,87.5,89.6,73.8,96,102.8,101.5,88.2,,43750,,
Lexington KY,91.7,97.2,74.3,95.7,96.1,90.3,101.7,,45850,,
Louisville KY,91.7,91.9,80.1,86.3,104.5,91.3,98.6,,45850,,
Paducah KY,91.5,93.8,80.8,110.6,91,86.3,94.6,,45750,,
Alexandria LA,97.2,99.5,92.6,85.7,93.3,99.9,105,,48600,,
Baton Rouge LA,94.3,104.7,89.2,84.5,97.3,102.6,95.2,,47150,,
Hammond LA,89.5,98.2,73.5,92,92.9,96,96.8,,44750,,
Houma-Terrebonne Parish LA,93.7,95,92.3,86.9,110.2,87,91.1,,46850,,
Thibodaux-Lafourche Parish LA,94.1,94.3,89.1,110,99,88.3,92.2,,47050,,
Lafayette LA,95.7,94.2,93.5,92.9,100.8,86.8,98.5,,47850,,
Lake Charles LA,95,96.6,95,95.4,98.6,98.1,92.2,,47500,,
Monroe LA,95.2,96,90.5,97.6,97.1,89,98.5,,47600,,
New Orleans LA,96.8,100.6,95.5,84.2,102.7,100.5,97.5,,48400,,
Slidell-St. Tammany Parish LA,98.4,97.9,93.2,111.7,99.9,93.1,98.9,,49200,,
Shreveport-Bossier City LA,90.9,93.3,84.7,97.2,92,89,93.2,,45450,,
Portland ME,109.8,96.6,121.6,89.7,109.7,118.9,110.5,,54900,,
Baltimore MD,109.2,108.3,142.9,92.7,100.3,89.5,91.4,,54600,,
Bethesda-Gaithersburg-Frederick MD,127.9,108.9,199.2,108.7,105.1,91.9,93.3,,63950,,
Boston MA,137.3,113.6,174.2,135.9,107,120.5,129.8,,68650,,
Framingham-Natick MA,140,108.5,204,112.1,106.9,119.7,122,,70000,,
Pittsfield MA,112.5,111.6,131.7,102.7,104.6,96.9,104.5,,56250,,
Fitchburg-Leominster MA,108.9,95.2,106.2,116.7,122.2,116.6,108.7,,54450,,
Ann Arbor MI,102.6,94.3,114.6,103.5,101.3,99.6,96.2,,51300,,
Detroit MI,94.9,92.9,91.2,101,99.8,96,94.9,,47450,,
Grand Rapids MI,92,95,77.5,94.7,101.6,91.9,99,,46000,,
Kalamazoo MI,87,86.7,69.7,97.8,99.4,96.1,92.9,,43500,,
Benton Harbor MI,92.3,101.1,82.5,92.4,96.7,95.1,94.8,,46150,,
Mankato MN,95.1,103.9,81.3,88.8,101,103.3,102,,47550,,
Minneapolis MN,107.6,103.8,114.8,92.8,103.6,100.8,110.2,,53800,,
St. Paul MN,107.5,103.8,114.1,91.3,104.9,101.7,110.3,,53750,,
St. Cloud MN,94.8,108.9,76.1,85.3,96.9,109.7,105.1,,47400,,
Hattiesburg MS,85.7,95.5,71,93.2,94.4,88.3,88.1,,42850,,
Jackson MS,86.8,86.5,75.1,76.6,94.5,89.5,97.2,,43400,,
Tupelo MS,87.7,90.4,70.3,88.9,93.4,97.2,98,,43850,,
Columbia MO,94.4,95.8,87.7,97.2,90.9,101.7,99.2,,47200,,
Jefferson City MO,91.7,98.4,78.1,99,92.5,96.1,97.4,,45850,,
Joplin MO,88.9,93.3,72.2,117.8,92.6,92.8,90.3,,44450,,
Kansas City MO-KS,99.8,100.2,92.5,106.9,97.7,99.7,104.6,,49900,,
St. Louis MO-IL,93.5,104.9,72.8,115.6,98.5,102.5,96.4,,46750,,
Springfield MO,90.2,96.2,73,102.2,93.6,98.6,96.4,,45100,,
Bozeman MT,100.6,101.7,112.7,88.1,92.4,105.9,95.8,,50300,,
Kalispell MT,95.7,103,86.3,91,90.6,103.6,103.2,,47850,,
Hastings NE,96.8,100.8,93.5,102,92.8,99.9,97.5,,48400,,
Lincoln NE,90.4,96.4,75.6,94.1,96.7,96.1,96.4,,45200,,
Omaha NE,88.1,92.9,77.6,95.2,96.6,101.9,87.7,,44050,,
Las Vegas NV,105.8,111.2,107,90.8,104.6,102.4,108,,52900,,
Reno-Sparks NV,97,105.8,85.8,81.7,107.3,94.6,104.2,,48500,,
Manchester NH,115.3,97.7,127.5,124.7,99,118.1,115.2,,57650,,
Newark-Elizabeth NJ,126.9,107.6,164,115.1,107.6,104,117.1,,63450,,
Bergen-Passaic NJ,129.2,105.8,175.7,114.5,108,105.1,114.9,,64600,,
Middlesex-Monmouth NJ,122.9,104.7,153.1,114.1,109,110.4,114.2,,61450,,
Rio Rancho NM,92.1,95.1,77.3,89.2,101.1,97.4,100.7,,46050,,
Albany NY,106.6,97.7,116.8,88.6,109.6,103.3,106.8,,53300,,
Buffalo NY,98,94.5,108.3,102.6,102.4,87.8,88.6,,49000,,
Ithaca NY,105.9,100.1,114.3,90.9,110.9,108.1,103.6,,52950,,
Nassau County NY,129.5,115.7,176.2,104.2,108.7,105.6,113.8,,64750,,
New York (Brooklyn) NY,169.3,127.7,291.4,127.7,114.7,113,122.2,,84650,,
New York (Manhattan) NY,221.8,134.8,437.2,136.8,125.1,112.3,150.5,,110900,,
Rochester NY,99,96,91,93.3,111.5,100,104.3,,49500,,
Asheville NC,104.6,103.6,106,107.7,100.1,109.1,103.8,,52300,,
Burlington NC,94.3,101.5,78.5,95.9,96.8,98.6,103,,47150,,
Charlotte NC,94.7,99.7,85.1,106.9,96.5,101.2,95.5,,47350,,
Chapel Hill NC,106.8,103.4,103.7,88.9,101.2,99.8,119.9,,53400,,
Durham NC,91.7,98.2,76.7,88.6,100.5,98.7,98.6,,45850,,
Greenville NC,98.4,109.3,78.8,98.5,104,102.2,108.2,,49200,,
Jacksonville NC,98.3,105.3,78.4,119.3,102.8,111.1,102.5,,49150,,
Dare County NC,107.4,105.2,110.9,99.7,103.2,104.1,109.8,,53700,,
Raleigh NC,93.1,101.6,77.4,101.4,100.3,103.5,96.2,,46550,,
Wilmington NC,99.3,105.7,88.9,103.9,103.4,111.7,100.8,,49650,,
Thomasville-Lexington NC,90.8,102,79.1,89.1,88.5,114.8,94.1,,45400,,
Winston-Salem NC,90.9,102.4,66.8,105.9,96.5,106.5,97.8,,45450,,
Bismarck-Mandan ND,100.4,102.1,103.1,89.3,101.7,109,99.2,,50200,,
Fargo-Moorhead ND-MN,93.8,101.4,83.1,92.3,96.5,111.3,96.9,,46900,,
Minot ND,107.1,104.2,120.9,87.1,109.4,105.7,102.1,,53550,,
Akron OH,100.9,110.4,107.3,92.5,109.9,88.4,91.9,,50450,,
Ashland OH,83.9,98.3,63,84.6,96.5,93.6,89.4,,41950,,
Cleveland OH,100.6,104.6,94.6,103.9,100.3,110,102,,50300,,
Columbus OH,90,92.6,79,96.1,99.2,95.7,92.2,,45000,,
Dayton OH,92.3,95.1,77.4,101.9,99.7,91,98.4,,46150,,
Findlay OH,97,101.3,79.8,101.8,101.2,95.4,107.2,,48500,,
Lima OH,95.4,99.1,79.3,109.3,101.1,105.7,99.9,,47700,,
Wooster OH,91,93.5,80.7,104.2,95.9,92.6,92.7,,45500,,
Ardmore OK,88.2,100.8,73.3,82.4,97.2,91.9,93.7,,44100,,
Enid OK,95.3,95.5,88.7,100.3,97,89.5,99.5,,47650,,
Lawton OK,94,94.6,90.5,87.8,101.2,102,94.9,,47000,,
Muskogee OK,89,96.5,74.1,99.2,84.4,99.7,95.7,,44500,,
Edmond OK,95.7,88.3,94.3,101.1,98.7,94.8,97.3,,47850,,
Norman OK,83.5,86.7,69,86.6,88.1,91.5,90.9,,41750,,
Oklahoma City OK,89.9,90.8,82.2,92.9,94.1,95.7,93,,44950,,
Ponca City OK,91.7,91.8,78.9,99.3,91,100.3,99.7,,45850,,
Stillwater OK,92.7,96.3,83.4,95.4,93.8,100.5,96.8,,46350,,
Tulsa OK,88.5,96.2,65.3,95.6,99,95.6,98.2,,44250,,
Pryor Creek OK,88.5,95.9,72.3,94.5,89.9,90.6,96.8,,44250,,
Portland OR,124.8,114.1,160.2,91,111.6,114.2,115.9,,62400,,
Allentown PA,103.3,98.4,108.5,98.7,103.7,97.3,103.2,,51650,,
Erie PA,95.1,103.4,83.2,91.7,95.6,91.9,103.4,,47550,,
Harrisburg PA,99.5,102.2,90.7,111.2,104,90.7,101.9,,49750,,
Johnstown PA,95.7,102.6,80.9,106.9,104.4,84.1,100.4,,47850,,
Philadelphia PA,119.1,114,134.7,122.1,106.4,98.6,114.5,,59550,,
Pittsburgh PA,96.1,98.7,87,101.2,107.7,96.7,96.9,,48050,,
Williamsport-Lycoming County PA,99.1,102.3,91.1,122.4,101.3,98.1,96.6,,49550,,
York County PA,100.7,100.2,95.9,109.6,98.4,92.7,104.3,,50350,,
Providence RI,122.1,106.4,134.6,125.1,104.4,118.8,124.3,,61050,,
Charleston-N Charleston SC,100.6,108.7,94.2,112.8,95.9,105.1,99.8,,50300,,
Camden SC,92.5,103.6,80,96.9,88.1,90,99.3,,46250,,
Columbia SC,95,102.7,79.4,113.4,94.7,94.8,99.4,,47500,,
Anderson SC,89.4,105,72.6,94.9,89.5,99.5,94,,44700,,
Greenville SC,94.4,100.3,78.1,96.3,95.2,108.3,103.2,,47200,,
Beaufort SC,97.1,110,84.6,108.1,93.2,98.9,100,,48550,,
Hilton Head Island SC,105.9,111.8,107.5,102.7,96.5,104.6,106.6,,52950,,
Myrtle Beach SC,94,104,71,119,95.7,97.2,100.7,,47000,,
Sumter SC,91.4,102.1,76.8,104.8,91.5,91.8,95.2,,45700,,
Pierre SD,102,111,112.9,90.1,90.9,94.9,97.5,,51000,,
Rapid City SD,95.1,109.1,90.6,89.2,82.5,92.9,99.8,,47550,,
Sioux Falls SD,98.7,95.6,93.5,103.8,94.4,101.7,104.2,,49350,,
Chattanooga TN,94,96.4,86.7,95,100.3,98.5,96,,47000,,
Cleveland TN,89.9,96.8,84.8,82.1,88.4,86.3,95,,44950,,
Cookeville TN,85,90.4,71.7,87.3,92.5,88.9,90.2,,42500,,
Jackson-Madison County TN,91.7,90.4,72.5,89.2,101.8,85.6,106.9,,45850,,
Knoxville TN,87.1,89.3,79.1,92.6,85,91.1,91.7,,43550,,
Memphis TN,85.4,92.5,69.3,93.5,92.6,91.1,90.4,,42700,,
Morristown TN,89.6,92.3,74.5,97.6,93.7,92.1,97.3,,44800,,
Nashville-Murfreesboro TN,90,95.2,76.4,92.2,93.3,84.3,98.6,,45000,,
Abilene TX,92.9,92,89.2,83.8,100.8,90.1,96.8,,46450,,
Amarillo TX,86.9,89.5,76,84.5,92.4,90.4,93.7,,43450,,
Athens-Henderson County TX,89,95.6,69.9,101.5,93,91.1,97.1,,44500,,
Austin TX,94.4,85.6,87.4,103.4,96,99.5,100.2,,47200,,
Round Rock TX,94.4,86.5,89.4,95.4,94.7,105.6,100.3,,47200,,
San Marcos TX,85.8,81.8,77.1,88.3,95.8,92.8,89.5,,42900,,
Beaumont TX,98.5,89,98.2,96.8,96.8,91,105.2,,49250,,
Harlingen TX,81.3,85.8,69.6,96.6,87.6,97.8,79.8,,40650,,
Corpus Christi TX,92.5,81.5,88.4,109.8,92.3,94.1,95.1,,46250,,
Dallas TX,95.5,101.2,75,103,100.1,99.9,106.4,,47750,,
Denton TX,92.7,92.7,87.8,86,101.2,95.4,95.7,,46350,,
Plano TX,98.8,100.1,89.7,102.1,101.2,105.2,103.5,,49400,,
El Paso TX,92.9,100.2,85.6,88.3,96.8,88.8,96.7,,46450,,
Fort Worth TX,99.5,95.3,93.2,96.7,99.4,101.6,107.6,,49750,,
Weatherford TX,89.4,100,81.3,85.6,94.5,90.3,91,,44700,,
Brazoria County TX,92.9,84.2,88,97.7,92.7,100.5,98.4,,46450,,
Conroe TX,92,88.9,84.7,100.5,95.4,99.4,94.7,,46000,,
Houston TX,98.8,84.3,108.1,99.4,93.7,91,99.9,,49400,,
Temple TX,86.1,84.3,77.3,80.9,88.3,94.6,94.4,,43050,,
Longview TX,100.8,98.3,98.4,87.2,103.3,101.3,107.5,,50400,,
Lubbock TX,89.1,93.8,82.3,79.2,94.4,96.7,93.1,,44550,,
McAllen TX,84.1,83.4,76.6,92.4,94.6,82.7,84.4,,42050,,
Midland TX,96.8,91.1,97.3,91.8,101.9,97.4,98.5,,48400,,
Nacogdoches TX,95.7,91.2,87.9,102.2,100.5,93,101.1,,47850,,
Odessa TX,99,89.3,103.5,97.3,96.9,105.2,99.7,,49500,,
San Angelo TX,94.6,95.9,83.8,96.8,99.3,86.4,102.2,,47300,,
San Antonio TX,92.1,89.3,79.8,84,96.7,97.1,104.5,,46050,,
Seguin TX,91.2,90.4,78.9,94.8,92.5,97,99.8,,45600,,
Sherman-Denison TX,86.2,94.5,75.7,86.8,94.9,85.2,88.3,,43100,,
Texarkana TX-AR,92.1,94.7,78.9,91,92.6,84.1,103.8,,46050,,
Tyler TX,95.3,93,95.8,94,96.3,90.7,96.6,,47650,,
Waco TX,88.7,80.9,84.4,89.3,100.3,95.1,90.5,,44350,,
Wichita Falls TX,89.9,88.3,81.4,87.2,94.2,99.4,96.1,,44950,,
Cedar City UT,88.8,98.4,75.7,86.7,96.5,88.3,93.9,,44400,,
Provo-Orem UT,91.4,99.3,84.2,85.2,96.3,92.6,94.3,,45700,,
St. George UT,92.8,97.1,90.4,87.6,95.1,91.3,94.1,,46400,,
Salt Lake City UT,94.1,96.8,90.8,94,101.5,94.8,93,,47050,,
Burlington-Chittenden County VT,118.7,106.1,142.7,123.1,109.1,107.4,107,,59350,,
Blacksburg VA,97.4,92.2,90.3,108.3,96.8,102.5,101.9,,48700,,
Charlottesville VA,103.8,99.1,111.1,90.5,99,98.8,106.2,,51900,,
Danville City VA,94.9,98.5,83.9,112.6,95,94,97.5,,47450,,
Harrisonburg VA,98.3,97.9,101.8,102.2,88.2,100.6,97.7,,49150,,
Lynchburg VA,92.4,93.2,84.6,109,85.6,95,95.8,,46200,,
Martinsville-Henry County VA,84.4,94.5,74.6,83.5,76.6,91.1,90.8,,42200,,
Richmond VA,99.1,100.2,88.2,107.9,96.6,104.1,105.7,,49550,,
Roanoke VA,91.2,91,89.3,98.9,91.3,96.7,89.7,,45600,,
Staunton-Augusta County VA,93.1,94.4,89.8,101.5,90.9,94.5,93.5,,46550,,
Hampton Roads-SE Virginia VA,100.5,95.8,92.5,107.9,97.3,107.8,107.4,,50250,,
Winchester VA-WV,101.6,100.1,98,103.3,89.9,102.3,109.4,,50800,,
Lexington-Buena Vista-Rockbridge VA,92.3,94.7,91.8,101.5,93,87,89.1,,46150,,
Bellingham WA,109.5,102.9,128.9,74.5,110,110.7,106.3,,54750,,
Kennewick-Richland-Pasco WA,94.9,95.1,100.5,89.2,97,106.8,89.4,,47450,,
Moses Lake WA,92.8,96.7,83.6,73.7,101,119.7,98.6,,46400,,
Mount Vernon-Skagit County WA,106.4,109.6,108,85.2,111.2,114.2,107.6,,53200,,
Olympia WA,100.9,102.4,98.8,83.7,111.4,122.1,100.7,,50450,,
Vancouver WA,102.6,96.6,97.1,92.8,108.6,108.4,110.2,,51300,,
Everett WA,107.2,102.5,125.4,88.4,106.4,122.7,97.3,,53600,,
Seattle WA,126.5,111.4,164.8,98.5,118,116.5,113.2,,63250,,
Spokane WA,95.4,91.6,87.5,79,103.1,111.8,104.1,,47700,,
Tacoma WA,104.5,99.8,95.3,102.3,107.7,111.1,113.2,,52250,,
Yakima WA,95.4,99.3,90.8,82.7,107.2,111,95,,47700,,
Martinsburg-Berkeley County WV,90.4,93.8,76,92.4,105.1,95.3,94.7,,45200,,
Morgantown WV,103,97,112.4,93.9,97.9,98.2,102.8,,51500,,
Eau Claire WI,93.1,98.7,78.8,90,101,110,98.8,,46550,,
Fond du Lac WI,94.4,101.5,79,98.1,100.4,108.1,99.5,,47200,,
Green Bay WI,93.2,92.4,80.2,104.4,98.2,105.5,97.9,,46600,,
Janesville WI,95.6,97.8,86.1,111.9,98.8,109.6,94.5,,47800,,
Madison WI,106.7,102.9,114.1,100.7,106,115.4,102.8,,53350,,
Milwaukee-Waukesha WI,101.9,101.5,103.5,113,98.7,116,96.2,,50950,,
Marshfield WI,96.2,95.4,87.6,93.5,106.5,108.8,99.3,,48100,,
Cheyenne WY,94.5,103.2,89.6,100.3,92.7,95.7,93.7,,47250,,
Laramie WY,93.3,97.8,94.6,99.2,90.5,98.6,88.7,,46650,,
